Name,Team
Sam Birkitt,Yorkshire Roses
James Gratton,Yorkshire Roses
Adam Davies,Yorkshire Roses
Elis Vavruskova,Yorkshire Roses
Claude Gowan,Northern Angels
Anna O'Gara,Northern Angels
Amit Portnoy,Northern Angels
Chloe Durkin,Northern Angels
